name	SC	TC	JP83	JP90	JP04
.notdef	.notdef	(=SC)	-	(=SC)	(=SC)
U+0020	space	(=SC)	-	(=SC)	(=SC)
U+000A	uni000A	(=SC)	-	(=SC)	(=SC)
U+0021	exclam	(=SC)	-	(=SC)	(=SC)
U+0022	quotedbl	(=SC)	-	(=SC)	(=SC)
U+0023	numbersign	(=SC)	-	(=SC)	(=SC)
U+0024	dollar	(=SC)	-	(=SC)	(=SC)
U+0025	percent	(=SC)	-	(=SC)	(=SC)
U+0026	ampersand	(=SC)	-	(=SC)	(=SC)
U+0027	quotesingle	(=SC)	-	(=SC)	(=SC)
U+0028	parenleft	(=SC)	-	(=SC)	(=SC)
U+0029	parenright	(=SC)	-	(=SC)	(=SC)
U+002A	asterisk	(=SC)	-	(=SC)	(=SC)
U+002B	plus	(=SC)	-	(=SC)	(=SC)
U+002C	comma	(=SC)	-	(=SC)	(=SC)
U+002D	hyphen	(=SC)	-	(=SC)	(=SC)
U+002E	period	(=SC)	-	(=SC)	(=SC)
U+002F	slash	(=SC)	-	(=SC)	(=SC)
U+0030	zero	(=SC)	-	(=SC)	(=SC)
U+0031	one	(=SC)	-	(=SC)	(=SC)
U+0032	two	(=SC)	-	(=SC)	(=SC)
U+0033	three	(=SC)	-	(=SC)	(=SC)
U+0034	four	(=SC)	-	(=SC)	(=SC)
U+0035	five	(=SC)	-	(=SC)	(=SC)
U+0036	six	(=SC)	-	(=SC)	(=SC)
U+0037	seven	(=SC)	-	(=SC)	(=SC)
U+0038	eight	(=SC)	-	(=SC)	(=SC)
U+0039	nine	(=SC)	-	(=SC)	(=SC)
U+003A	colon	(=SC)	-	(=SC)	(=SC)
U+003B	semicolon	(=SC)	-	(=SC)	(=SC)
U+003C	less	(=SC)	-	(=SC)	(=SC)
U+003D	equal	(=SC)	-	(=SC)	(=SC)
U+003E	greater	(=SC)	-	(=SC)	(=SC)
U+003F	question	(=SC)	-	(=SC)	(=SC)
U+0040	at	(=SC)	-	(=SC)	(=SC)
U+0041	A	(=SC)	-	(=SC)	(=SC)
U+0042	B	(=SC)	-	(=SC)	(=SC)
U+0043	C	(=SC)	-	(=SC)	(=SC)
U+0044	D	(=SC)	-	(=SC)	(=SC)
U+0045	E	(=SC)	-	(=SC)	(=SC)
U+0046	F	(=SC)	-	(=SC)	(=SC)
U+0047	G	(=SC)	-	(=SC)	(=SC)
U+0048	H	(=SC)	-	(=SC)	(=SC)
U+0049	I	(=SC)	-	(=SC)	(=SC)
U+004A	J	(=SC)	-	(=SC)	(=SC)
U+004B	K	(=SC)	-	(=SC)	(=SC)
U+004C	L	(=SC)	-	(=SC)	(=SC)
U+004D	M	(=SC)	-	(=SC)	(=SC)
U+004E	N	(=SC)	-	(=SC)	(=SC)
U+004F	O	(=SC)	-	(=SC)	(=SC)
U+0050	P	(=SC)	-	(=SC)	(=SC)
U+0051	Q	(=SC)	-	(=SC)	(=SC)
U+0052	R	(=SC)	-	(=SC)	(=SC)
U+0053	S	(=SC)	-	(=SC)	(=SC)
U+0054	T	(=SC)	-	(=SC)	(=SC)
U+0055	U	(=SC)	-	(=SC)	(=SC)
U+0056	V	(=SC)	-	(=SC)	(=SC)
U+0057	W	(=SC)	-	(=SC)	(=SC)
U+0058	X	(=SC)	-	(=SC)	(=SC)
U+0059	Y	(=SC)	-	(=SC)	(=SC)
U+005A	Z	(=SC)	-	(=SC)	(=SC)
U+005B	bracketleft	(=SC)	-	(=SC)	(=SC)
U+005C	backslash	(=SC)	-	(=SC)	(=SC)
U+005D	bracketright	(=SC)	-	(=SC)	(=SC)
U+005E	asciicircum	(=SC)	-	(=SC)	(=SC)
U+005F	underscore	(=SC)	-	(=SC)	(=SC)
U+0060	grave	(=SC)	-	(=SC)	(=SC)
U+0061	a	(=SC)	-	(=SC)	(=SC)
U+0062	b	(=SC)	-	(=SC)	(=SC)
U+0063	c	(=SC)	-	(=SC)	(=SC)
U+0064	d	(=SC)	-	(=SC)	(=SC)
U+0065	e	(=SC)	-	(=SC)	(=SC)
U+0066	f	(=SC)	-	(=SC)	(=SC)
U+0067	g	(=SC)	-	(=SC)	(=SC)
U+0068	h	(=SC)	-	(=SC)	(=SC)
U+0069	i	(=SC)	-	(=SC)	(=SC)
U+006A	j	(=SC)	-	(=SC)	(=SC)
U+006B	k	(=SC)	-	(=SC)	(=SC)
U+006C	l	(=SC)	-	(=SC)	(=SC)
U+006D	m	(=SC)	-	(=SC)	(=SC)
U+006E	n	(=SC)	-	(=SC)	(=SC)
U+006F	o	(=SC)	-	(=SC)	(=SC)
U+0070	p	(=SC)	-	(=SC)	(=SC)
U+0071	q	(=SC)	-	(=SC)	(=SC)
U+0072	r	(=SC)	-	(=SC)	(=SC)
U+0073	s	(=SC)	-	(=SC)	(=SC)
U+0074	t	(=SC)	-	(=SC)	(=SC)
U+0075	u	(=SC)	-	(=SC)	(=SC)
U+0076	v	(=SC)	-	(=SC)	(=SC)
U+0077	w	(=SC)	-	(=SC)	(=SC)
U+0078	x	(=SC)	-	(=SC)	(=SC)
U+0079	y	(=SC)	-	(=SC)	(=SC)
U+007A	z	(=SC)	-	(=SC)	(=SC)
U+007B	braceleft	(=SC)	-	(=SC)	(=SC)
U+007C	bar	(=SC)	-	(=SC)	(=SC)
U+007D	braceright	(=SC)	-	(=SC)	(=SC)
U+007E	asciitilde	(=SC)	-	(=SC)	(=SC)
U+00A0	nbspace	(=SC)	-	(=SC)	(=SC)
