orig,SC,TC
caron,caron-LTN,caron-TC
macronmod,macronmod-LTN,macronmod-TC
acutemod,acutemod-LTN,acutemod-TC
gravemod,gravemod-LTN,gravemod-TC
dotaccent,dotaccent-LTN,dotaccent-TC
quoteleft,quoteleft-SC,quoteleft-LTN
quoteright,quoteright-SC,quoteright-LTN
quotedblleft,quotedblleft-SC,quotedblleft-LTN
quotedblright,quotedblright-SC,quotedblright-LTN
uni3001,uni3001-SC,uni3001-TC
uni3002,uni3002-SC,uni3002-TC
i-bopo,i-bopo-SC,i-bopo-TC
uni34FE,uni34FE-SC,uni34FE-TC
uni372E,uni372E-SC,uni372E-TC
uni39C1,uni39C1-SC,uni39C1-TC
uni39EC,uni39EC-SC,uni39EC-TC
uni3A90,uni3A90-SC,uni3A90-TC
uni3B39,uni3B39-SC,uni3B39-TC
uni3D19,uni3D19-SC,uni3D19-TC
uni3FF8,uni3FF8-SC,uni3FF8-TC
uni40D7,uni40D7-SC,uni40D7-TC
uni41F6,uni41F6-SC,uni41F6-TC
uni4204,uni4204-SC,uni4204-TC
uni4242,uni4242-SC,uni4242-TC
uni4308,uni4308-SC,uni4308-TC
uni4599,uni4599-SC,uni4599-TC
uni488D,uni488D-SC,uni488D-TC
uni48A2,uni48A2-SC,uni48A2-TC
uni4BCB,uni4BCB-SC,uni4BCB-TC
uni4C7D,uni4C7D-SC,uni4C7D-TC
uni4D08,uni4D08-SC,uni4D08-TC
uni4E11,uni4E11-SC,uni4E11-TC
uni4E22,uni4E22-SC,uni4E22-TC
uni4E9F,uni4E9F-SC,uni4E9F-TC
uni4EAE,uni4EAE-SC,uni4EAE-TC
uni4EB2,uni4EB2-SC,uni4EB2-TC
uni4ECA,uni4ECA-SC,uni4ECA-TC
uni4EE4,uni4EE4-SC,uni4EE4-TC
uni4EE5,uni4EE5-SC,uni4EE5-TC
uni4EEE,uni4EEE-SC,uni4EEE-TC
uni4EFB,uni4EFB-SC,uni4EFB-TC
uni4F28,uni4F28-SC,uni4F28-TC
uni4F36,uni4F36-SC,uni4F36-TC
uni4F3C,uni4F3C-SC,uni4F3C-TC
uni4F4E,uni4F4E-SC,uni4F4E-TC
uni4F5F,uni4F5F-SC,uni4F5F-TC
uni4F7A,uni4F7A-SC,uni4F7A-TC
uni4FC2,uni4FC2-SC,uni4FC2-TC
uni4FE3,uni4FE3-SC,uni4FE3-TC
uni4FEE,uni4FEE-SC,uni4FEE-TC
uni4FF1,uni4FF1-SC,uni4FF1-TC
uni4FFF,uni4FFF-SC,uni4FFF-TC
uni5009,uni5009-SC,uni5009-TC
uni500F,uni500F-SC,uni500F-TC
uni501C,uni501C-SC,uni501C-TC
uni5029,uni5029-SC,uni5029-TC
uni503C,uni503C-SC,uni503C-TC
uni504F,uni504F-SC,uni504F-TC
uni507A,uni507A-SC,uni507A-TC
uni5080,uni5080-SC,uni5080-TC
uni5096,uni5096-SC,uni5096-TC
uni509D,uni509D-SC,uni509D-TC
uni50AF,uni50AF-SC,uni50AF-TC
uni50C6,uni50C6-SC,uni50C6-TC
uni50CA,uni50CA-SC,uni50CA-TC
uni50F1,uni50F1-SC,uni50F1-TC
uni5106,uni5106-SC,uni5106-TC
uni5116,uni5116-SC,uni5116-TC
uni511A,uni511A-SC,uni511A-TC
uni5138,uni5138-SC,uni5138-TC
uni513C,uni513C-SC,uni513C-TC
uni5164,uni5164-SC,uni5164-TC
uni5168,uni5168-SC,uni5168-TC
uni5177,uni5177-SC,uni5177-TC
uni5185,uni5185-SC,uni5185-TC
uni51AC,uni51AC-SC,uni51AC-TC
uni51B7,uni51B7-SC,uni51B7-TC
uni51CA,uni51CA-SC,uni51CA-TC
uni51CB,uni51CB-SC,uni51CB-TC
uni51E1,uni51E1-SC,uni51E1-TC
uni51ED,uni51ED-SC,uni51ED-TC
uni51FD,uni51FD-SC,uni51FD-TC
uni51FE,uni51FE-SC,uni51FE-TC
uni522B,uni522B-SC,uni522B-TC
uni526E,uni526E-SC,uni526E-TC
uni5275,uni5275-SC,uni5275-TC
uni5290,uni5290-SC,uni5290-TC
uni52A1,uni52A1-SC,uni52A1-TC
uni52D7,uni52D7-SC,uni52D7-TC
uni52D9,uni52D9-SC,uni52D9-TC
uni52E5,uni52E5-SC,uni52E5-TC
uni52F8,uni52F8-SC,uni52F8-TC
uni5300,uni5300-SC,uni5300-TC
uni533E,uni533E-SC,uni533E-TC
uni5373,uni5373-SC,uni5373-TC
uni537F,uni537F-SC,uni537F-TC
uni53A9,uni53A9-SC,uni53A9-TC
uni53B3,uni53B3-SC,uni53B3-TC
uni53C7,uni53C7-SC,uni53C7-TC
uni53CD,uni53CD-SC,uni53CD-TC
uni53DB,uni53DB-SC,uni53DB-TC
uni53DF,uni53DF-SC,uni53DF-TC
uni541F,uni541F-SC,uni541F-TC
uni5428,uni5428-SC,uni5428-TC
uni542B,uni542B-SC,uni542B-TC
uni542F,uni542F-SC,uni542F-TC
uni5434,uni5434-SC,uni5434-TC
uni5448,uni5448-SC,uni5448-TC
uni544A,uni544A-SC,uni544A-TC
uni5464,uni5464-SC,uni5464-TC
uni5467,uni5467-SC,uni5467-TC
uni5468,uni5468-SC,uni5468-TC
uni548E,uni548E-SC,uni548E-TC
uni5492,uni5492-SC,uni5492-TC
uni549A,uni549A-SC,uni549A-TC
uni54BC,uni54BC-SC,uni54BC-TC
uni54D2,uni54D2-SC,uni54D2-TC
uni5505,uni5505-SC,uni5505-TC
uni550C,uni550C-SC,uni550C-TC
uni5525,uni5525-SC,uni5525-TC
uni5527,uni5527-SC,uni5527-TC
uni552C,uni552C-SC,uni552C-TC
uni5533,uni5533-SC,uni5533-TC
uni5538,uni5538-SC,uni5538-TC
uni5541,uni5541-SC,uni5541-TC
uni5553,uni5553-SC,uni5553-TC
uni555F,uni555F-SC,uni555F-TC
uni55A2,uni55A2-SC,uni55A2-TC
uni55A8,uni55A8-SC,uni55A8-TC
uni55B2,uni55B2-SC,uni55B2-TC
uni55B6,uni55B6-SC,uni55B6-TC
uni55BA,uni55BA-SC,uni55BA-TC
uni55BE,uni55BE-SC,uni55BE-TC
uni55C6,uni55C6-SC,uni55C6-TC
uni55C9,uni55C9-SC,uni55C9-TC
uni55D4,uni55D4-SC,uni55D4-TC
uni55D6,uni55D6-SC,uni55D6-TC
uni55D7,uni55D7-SC,uni55D7-TC
uni55DD,uni55DD-SC,uni55DD-TC
uni55DF,uni55DF-SC,uni55DF-TC
uni55E6,uni55E6-SC,uni55E6-TC
uni55F5,uni55F5-SC,uni55F5-TC
uni55F9,uni55F9-SC,uni55F9-TC
uni5605,uni5605-SC,uni5605-TC
uni562C,uni562C-SC,uni562C-TC
uni5630,uni5630-SC,uni5630-TC
uni5634,uni5634-SC,uni5634-TC
uni5649,uni5649-SC,uni5649-TC
uni565D,uni565D-SC,uni565D-TC
uni5660,uni5660-SC,uni5660-TC
uni5662,uni5662-SC,uni5662-TC
uni5678,uni5678-SC,uni5678-TC
uni567A,uni567A-SC,uni567A-TC
uni56AE,uni56AE-SC,uni56AE-TC
uni56B3,uni56B3-SC,uni56B3-TC
uni56B4,uni56B4-SC,uni56B4-TC
uni56BC,uni56BC-SC,uni56BC-TC
uni56BE,uni56BE-SC,uni56BE-TC
uni56C9,uni56C9-SC,uni56C9-TC
uni56D1,uni56D1-SC,uni56D1-TC
uni56D6,uni56D6-SC,uni56D6-TC
uni56E4,uni56E4-SC,uni56E4-TC
uni56F9,uni56F9-SC,uni56F9-TC
uni56FE,uni56FE-SC,uni56FE-TC
uni570A,uni570A-SC,uni570A-TC
uni5716,uni5716-SC,uni5716-TC
uni571D,uni571D-SC,uni571D-TC
