default,TC
## Use SC
，,SC
。,SC
、,SC
．,SC
葛,SC
僅,SC
歎,SC
灘,SC
牌,SC
稗,SC
兎,SC
挽,SC
娩,SC
牙,SC
穿,SC
訝,SC
鴉,SC
巷,SC
鞄,SC
庖,SC
撰,SC
捗,SC
瀕,SC
蠅,SC
竈,SC
晦,SC
煉,SC
恢,SC
囀,SC
隙,SC
遺,SC
欝,SC
鰻,SC
運,SC
荏,SC
遠,SC
横,SC
獲,SC
穫,SC
寒,SC
還,SC
起,SC
逆,SC
恐,SC
教,SC
郷,SC
驚,SC
近,SC
遇,SC
憩,SC
敬,SC
警,SC
迎,SC
遣,SC
護,SC
酷,SC
込,SC
最,SC
撮,SC
遮,SC
爵,SC
周,SC
衆,SC
週,SC
述,SC
巡,SC
遵,SC
情,SC
進,SC
壬,SC
迅,SC
遂,SC
随,SC
晴,SC
清,SC
精,SC
請,SC
逝,SC
青,SC
静,SC
節,SC
舌,SC
栓,SC
全,SC
送,SC
遭,SC
造,SC
即,SC
速,SC
退,SC
逮,SC
鯛,SC
達,SC
致,SC
遅,SC
築,SC
筑,SC
逐,SC
凋,SC
彫,SC
調,SC
賃,SC
追,SC
通,SC
呈,SC
程,SC
逓,SC
適,SC
迭,SC
甜,SC
途,SC
冬,SC
逃,SC
透,SC
導,SC
道,SC
内,SC
任,SC
妊,SC
迫,SC
帆,SC
汎,SC
避,SC
柊,SC
楓,SC
風,SC
辺,SC
凡,SC
俣,SC
慢,SC
漫,SC
蔓,SC
夢,SC
迷,SC
耗,SC
靖,SC
遊,SC
嵐,SC
率,SC
遼,SC
蓮,SC
連,SC
儚,SC
凭,SC
凾,SC
勗,SC
勸,SC
曼,SC
咒,SC
嫂,SC
幔,SC
恁,SC
恬,SC
惧,SC
懽,SC
搜,SC
插,SC
梵,SC
權,SC
樶,SC
檠,SC
欟,SC
歃,SC
歡,SC
涎,SC
灌,SC
倏,SC
瘋,SC
皓,SC
筵,SC
罐,SC
舊,SC
舐,SC
莚,SC
薇,SC
蛩,SC
蜒,SC
蜑,SC
螽,SC
蠖,SC
衽,SC
袵,SC
襪,SC
觀,SC
諷,SC
謾,SC
讙,SC
跫,SC
迪,SC
銛,SC
鏝,SC
鐵,SC
鑵,SC
鞏,SC
韈,SC
顴,SC
颪,SC
颯,SC
颱,SC
颶,SC
飄,SC
飃,SC
飆,SC
驩,SC
鬘,SC
鸛,SC
寬,SC
擎,SC
望,SC
浩,SC
耕,SC
告,SC
籍,SC
鮗,SC

# JP83 overrides
与,JP83
亂,JP83
仞,JP83
侫,JP83
侮,JP83
俘,JP83
俳,JP83
偂,JP83
偉,JP83
偏,JP83
偐,JP83
偖,JP83
偰,JP83
偽,JP83
傑,JP83
傔,JP83
傲,JP83
像,JP83
僘,JP83
僞,JP83
僧,JP83
僭,JP83
免,JP83
冒,JP83
写,JP83
冴,JP83
判,JP83
剏,JP83
剪,JP83
割,JP83
