万,萬万
丑,醜丑
个,個箇
为,爲為
举,擧舉
么,幺麼麽
了,了瞭
云,雲云
产,產産
亩,畂畆畝畮𤱈
仇,仇讎
仑,侖崙
仿,仿倣
众,眾衆
伙,伙夥
伞,傘繖
伪,僞偽
伫,佇竚
体,体體軆
余,余餘
侄,妷姪
侥,僥儌
侦,偵遉
俣,俁俣
修,修脩
倏,倏倐
借,借藉
倦,倦勌
值,値值
克,克剋尅
兔,兔兎
兹,兹茲玆
冉,冉冄
册,冊册
冗,冗宂
农,農辳
冢,冢塚
冬,冬鼕
冲,沖衝
净,淨凈
凄,悽淒
准,準准
几,幾几
凫,鳬鳧
凭,憑凴
凳,凳櫈
出,出齣
创,創剏剙
删,刪删
别,別彆
刮,刮颳
制,制製
剥,剝剥
剿,勦𠞰
动,動働
劫,刦刧刼
勋,勳勛
匀,勻匀
匆,怱悤
卜,卜蔔
占,占佔
卤,鹵滷
卧,臥卧
卫,衛衞䘙
即,卽即
却,卻㕁
卷,卷捲
厂,廠厰厂
厄,阨戹
历,曆歷暦歴厤
厕,廁厠
厘,厘釐
厨,廚㕑
厩,廄廐
参,參㕘蔘葠
发,發髮
叙,敘敍
叠,疊㬪曡
只,只衹隻秖
台,台臺檯颱枱
叶,葉叶
叹,嘆歎
合,合閤
同,同衕
后,後后
向,嚮曏
启,啟啓
吴,吳吴
呐,吶呐
咏,咏詠
咒,咒呪
咚,咚鼕
咸,鹹咸
哄,閧鬨
哗,嘩譁
啖,啗噉
啮,嚙囓齧
喂,喂餵
嗥,嗥嘷
噪,噪譟
回,回迴廻逥
团,團糰
困,困睏
场,場塲
坂,岅阪
坛,墰壇壜罈罎
坝,垻壩
坞,塢隖
垛,垛垜
埙,塤壎
填,塡填
墙,牆墻
壳,殼殻
备,備俻
复,復複覆
夸,夸誇
奁,匲匳奩
奖,獎奬
奸,奸姦
妆,妝粧
妍,妍姸
妫,嬀媯
姗,姍姗
姜,姜薑
娱,娛娱
娴,嫺嫻
嫩,嫩嫰
宝,寶寳
家,家傢
寇,㓂𡨥
寝,寢寑
尔,爾尒
尚,尚尙
尝,嘗嚐甞
尽,盡儘
屃,屓屭
届,屆届
屏,屏屛
岁,歲嵗𡻕
岛,島㠀
岩,岩巖巗
岳,岳嶽
崭,嶄嶃
布,布佈
帮,幫幚幇
干,干乾幹榦
并,並併竝
幸,幸倖
床,床牀
废,廢癈
廉,㢘亷
弥,彌瀰
当,噹當
录,錄録
彦,彥彦
彩,彩綵
征,徵征
御,御禦
志,志誌
念,念唸
恤,恤䘏卹賉
恶,惡噁
悫,慤愨
悮,悞悮
惬,愜㥦
惭,慚慙
愈,愈癒瘉
慑,懾慴
憔,憔顦癄
懒,懶嬾
戏,戲戯
戚,戚慼慽鏚
才,才纔
扎,扎紮紥
折,折摺
抵,抵牴觝
挡,擋攩
据,據㨿
揿,撳搇
携,攜㩗㩦擕
效,效傚効
敕,勅勑
敛,斂歛
斋,齋亝
斗,鬥鬦鬪
既,旣既
时,時旹
暂,暫蹔
暖,暖㬉煗
暗,暗闇
曲,曲麯
札,剳劄
术,術朮
朱,朱硃
朴,朴樸
朵,朵朶
杂,雜襍
杯,杯盃桮
松,松鬆
板,板闆
极,极極
构,構搆
枪,槍鎗
柜,櫃柜
查,查査
柳,柳栁
栅,柵栅
榉,櫸欅
樯,檣艢
橹,櫓㯭艣艪
毁,毀燬譭
毙,斃獘
毡,氊氈
汇,匯彙滙
污,污汙汚
沄,沄澐
沈,沈瀋沉
沩,潙溈
法,法灋㳒
涂,涂塗
涩,澀澁濇
淀,淀澱
淫,淫婬
游,游遊
湿,濕溼
溯,溯遡泝
滟,灩灧
漓,漓灕
漱,潄漱
灶,灶竈
灾,災烖
炮,炮砲礮
炼,煉鍊
烟,煙菸
烨,燁爗
焊,焊銲釬
熙,𤋮熈
狭,狹陿
猿,猨蝯
獾,䝔貛
琐,瑣𤨏
瓮,甕罋
画,畫畵
症,症癥
瘘,瘻瘺
瘪,癟㿜
皋,皋皐臯
盏,盞琖醆
着,着著
矿,礦鑛
砖,磚甎
硷,礆鹼
碱,礆鹼鹻
祢,祢禰
祸,禍旤
秋,秋鞦秌
种,種种
窑,窯窰
窗,窗窓窻牎牕
窥,窺闚
竖,豎竪
笺,箋牋椾
筑,築筑
签,簽籖
粽,糉粽
系,系係繫
累,累纍
纤,縴纖
纸,紙帋
线,綫線
绁,紲絏
绒,絨毧羢
绝,絕絶
绣,綉繡
绦,絛縧
绱,緔鞝
绵,綿緜
绷,綳繃
绿,綠緑
缄,緘椷
缊,縕緼
缰,繮韁
罂,罌甖
罚,罰罸
羁,羈覊
羌,羗𦍑
羡,羨羡
群,群羣
肠,腸膓
胁,脅脇
胡,胡鬍衚
胫,脛踁
胼,胼腁
脉,脈衇䘑
脏,髒臟
腊,腊臘臈
膳,膳饍
致,致緻
舍,舍捨
艳,艷豔豓
芸,芸蕓
苏,蘇囌蘓甦
范,范範
茧,繭蠒
荡,盪蕩
荫,蔭廕
药,藥葯
莅,蒞涖
获,獲穫
莼,蒓蓴
葬,葬塟
蒙,蒙矇濛懞
蔂,蔂虆
蔑,蔑衊
蕴,蘊藴
藤,藤籐
蚊,蚊螡蟁
蛔,蛔蜖痐蚘蛕
蜡,蜡蠟
衄,衂䶊
衔,銜啣
表,表錶
袅,裊嫋嬝褭
袜,襪韈韤
裥,襇襉
裸,裸臝躶
觅,覓覔
视,視眎眡
讹,訛譌
证,証證
词,詞䛐
话,話䛡
说,說説
谣,謠謡
谥,謚諡
谪,謫讁
谫,謭譾
谷,谷穀
赃,贓贜
赍,齎賫賷
赖,賴頼
赝,贋贗
赞,讚贊賛
赣,贛贑
跺,跺跥
软,軟輭
辄,輒輙
辒,轀輼
辞,辭辤
辟,辟闢
辣,辣辢
迸,迸逬
迹,跡蹟迹
适,適适
邻,鄰隣
郁,欝鬰鬱
酝,醞醖
酬,酬酧醻
采,采採埰寀
里,里裏裡
鉴,鑒鑑鍳
钟,鐘鍾
钥,鑰鈅
钩,鉤鈎
钵,缽鉢
钻,鑽鑚鉆
铁,鐵鉄
铲,鏟剷
铺,鋪舖
锄,鋤耡
锈,銹鏽
锉,銼剉
锐,銳鋭
锤,錘鎚
锨,鍁杴
锹,鍬鍫
镇,鎭鎮
镋,钂鎲
镌,鎸鐫
镢,鐝钁
镰,鐮䥥鎌
闲,閒閑
闸,閘牐
闹,鬧閙
阅,閱閲
阔,濶闊
陕,陝陜
隶,隸隷
雁,雁鴈
雇,雇僱
雕,雕鵰彫琱
雠,讎讐
霉,霉黴
面,面麵麪麫
韧,韌靭靱
须,須鬚
颓,穨頹頽
颜,顏顔
额,額頟
飒,颯䬃
飘,飄飃
饥,饑飢
饪,飪餁
饲,飼飤
馆,館舘
馈,饋餽
馍,饃饝
驮,馱䭾
驱,驅駈敺
骂,罵駡
验,驗騐
骡,騾驘
髯,髯髥
鲇,鮎鯰
鲜,鮮尟尠
鲞,鮝鯗
鲠,鯁骾
鳁,鰮鰛
鳄,鱷鰐
鳌,鰲鼇
鳖,鱉鼈
鸡,雞鷄
鸦,鴉鵶
鸩,鴆酖
鹅,鵝䳘鵞䳗
鹇,鷳鷴
鹚,鷀鶿
𩙧,䬞𩗡
𫇭,蔿蒍
拼,拼拚
